"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
G6328,대전광역시,서구,시도,,관저로,01,,대전광역시 서구 관저동 1137-1,36.29813800,127.32723700,금동초 입구 상가앞 삼거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6329,대전광역시,서구,시도,,관저로,01,,대전광역시 서구 관저동 1143,36.29774100,127.32578900,금동초옆 감리교회 앞 네거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6330,대전광역시,서구,시도,,관저로,02,,대전광역시 서구 관저동 1133,36.29912300,127.32955500,구봉초교네거리,02,50,,,02,2020,대전광역시,042-120,2022-12-15
G6331,대전광역시,서구,시도,,관저중로,02,,대전광역시 서구 관저동 1152,36.29909700,127.32951200,선암초교네거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6332,대전광역시,서구,시도,,관저중로,02,,대전광역시 서구 관저동 1105,36.29868200,127.33510200,관저2동 복지센터 앞 네거리,02,30,,,,2020,대전광역시,042-120,2022-12-15
G6333,대전광역시,서구,시도,,관저북로,01,,대전광역시 서구 관저동 979,36.30952500,127.33690900,원앙초 입구 원앙(아) 107동옆,01,30,,,02,2020,대전광역시,042-120,2022-12-15
G6334,대전광역시,서구,시도,,관저로,02,,대전광역시 서구 관저동 1396,36.29901500,127.34342200,느리울초교 앞,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6335,대전광역시,서구,시도,,원도안로,02,,대전광역시 서구 도안동 1563,36.31026100,127.34725700,도솔초 앞,01,30,,,02,2020,대전광역시,042-120,2022-12-15
G6336,대전광역시,서구,시도,,관저남로,01,,대전광역시 서구 관저동 1587,36.29525800,127.34072300,선유초 앞,01,30,,,02,2020,대전광역시,042-120,2022-12-15
G6337,대전광역시,서구,시도,,계백로,02,,대전광역시 서구 가수원동 841,36.30459600,127.34494100,가원학교 정문 앞,01,30,,,02,2020,대전광역시,042-120,2022-12-15
G6338,대전광역시,서구,시도,,계백로,01,,대전광역시 서구 가수원동 841,36.30375800,127.34572300,가원학교 후문 앞,01,30,,,02,2020,대전광역시,042-120,2022-12-15
G6339,대전광역시,서구,시도,,원도안로,02,,대전광역시 서구 도안동 1363,36.32099700,127.34411400,도안초 옆 삼거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6340,대전광역시,서구,시도,,가장로,02,,대전광역시 서구 괴정동 120,36.34064300,127.37737300,둔원초 입구 괴정중 옆 네거리,02,30,,,,2020,대전광역시,042-120,2022-12-15
G6366,대전광역시,서구,시도,,청사로,01,,대전광역시 서구 월평동 310-2,36.35995500,127.36694500,갑천초 옆 119안전센터 앞,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6367,대전광역시,서구,시도,,둔산남로,01,,대전광역시 서구 둔산동 1205,36.34912100,127.38082800,둔산초 옆 은하수(아) 110동 옆 네거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
